Date,Korea,China,Taiwan,Hong Kong,Thailand,USA,Europe, Grand Total 
Apr-00," 45,335 "," 3,342 "," 86,612 "," 21,646 "," 7,410 "," 35,550 "," 30,656 "," 443,028 "
May-00," 44,268 "," 3,211 "," 61,699 "," 11,375 "," 2,661 "," 34,461 "," 18,319 "," 381,053 "
Jun-00," 43,448 "," 3,019 "," 76,891 "," 18,936 "," 1,506 "," 44,820 "," 17,812 "," 400,139 "
Jul-00," 68,221 "," 5,376 "," 104,311 "," 25,949 "," 1,583 "," 40,559 "," 29,838 "," 483,849 "
Aug-00," 75,467 "," 4,213 "," 73,973 "," 19,443 "," 1,244 "," 29,098 "," 23,645 "," 423,361 "
Sep-00," 41,785 "," 3,853 "," 61,603 "," 14,319 "," 1,403 "," 24,947 "," 20,396 "," 379,753 "
Oct-00," 45,900 "," 5,059 "," 69,298 "," 13,947 "," 4,626 "," 37,540 "," 29,251 "," 443,862 "
Nov-00," 45,062 "," 4,660 "," 52,116 "," 12,944 "," 1,746 "," 27,444 "," 20,522 "," 378,910 "
Dec-00," 56,890 "," 3,659 "," 46,334 "," 19,593 "," 2,076 "," 28,884 "," 20,216 "," 361,260 "
Jan-01," 63,298 "," 4,967 "," 68,496 "," 27,617 "," 1,115 "," 20,465 "," 16,098 "," 416,490 "
Feb-01," 45,526 "," 2,838 "," 42,476 "," 12,908 "," 1,432 "," 18,573 "," 15,742 "," 315,483 "
Mar-01," 44,805 "," 4,544 "," 51,913 "," 24,589 "," 2,672 "," 33,176 "," 24,356 "," 401,054 "
Apr-01," 49,027 "," 5,929 "," 73,406 "," 21,243 "," 7,634 "," 39,948 "," 31,886 "," 449,934 "
May-01," 49,301 "," 6,054 "," 57,905 "," 12,035 "," 3,196 "," 34,325 "," 18,961 "," 390,515 "
Jun-01," 46,768 "," 5,818 "," 67,635 "," 18,178 "," 1,586 "," 50,217 "," 18,943 "," 403,477 "
Jul-01," 76,138 "," 9,071 "," 83,626 "," 23,057 "," 1,722 "," 42,053 "," 31,179 "," 479,822 "
Aug-01," 81,668 "," 9,165 "," 64,059 "," 21,514 "," 1,550 "," 29,897 "," 27,818 "," 433,490 "
Sep-01," 43,291 "," 6,196 "," 45,512 "," 13,775 "," 1,433 "," 21,254 "," 20,372 "," 354,578 "
Oct-01," 45,036 "," 7,357 "," 60,084 "," 13,906 "," 3,768 "," 32,834 "," 27,035 "," 403,181 "
Nov-01," 50,069 "," 5,442 "," 48,170 "," 12,931 "," 1,382 "," 23,616 "," 20,036 "," 354,484 "
Dec-01," 58,443 "," 4,737 "," 44,783 "," 25,109 "," 2,274 "," 30,751 "," 22,107 "," 369,047 "
Jan-02," 69,506 "," 3,658 "," 47,247 "," 13,778 "," 1,253 "," 20,204 "," 15,078 "," 392,588 "
Feb-02," 61,095 "," 7,361 "," 70,524 "," 38,214 "," 1,490 "," 22,467 "," 19,537 "," 400,081 "
Mar-02," 49,571 "," 6,231 "," 50,951 "," 24,405 "," 3,528 "," 41,271 "," 29,910 "," 434,034 "
Apr-02," 57,461 "," 9,586 "," 70,814 "," 17,122 "," 8,648 "," 37,687 "," 28,059 "," 460,377 "
